est,lower,upper,metric,model_name
0.811,0.808,0.813,diag.acc,NEFA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.78,0.773,0.786,balanced.acc,NEFA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
12.834,12.121,13.589,diag.or,NEFA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.006,0.006,0.007,nnd,NEFA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.559,0.546,0.572,youden,NEFA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.237,0.232,0.243,ppv,NEFA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.976,0.975,0.977,npv,NEFA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
4.037,3.958,4.118,plr,NEFA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.315,0.302,0.328,nlr,NEFA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.214,0.212,0.217,aprev,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.073,0.071,0.074,tprev,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.77,0.76,0.78,se,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.829,0.827,0.832,sp,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.825,0.822,0.827,diag.acc,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.799,0.793,0.806,balanced.acc,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
16.215,15.298,17.186,diag.or,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.006,0.006,0.006,nnd,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.599,0.586,0.611,youden,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.261,0.255,0.267,ppv,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.979,0.978,0.98,npv,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
4.504,4.418,4.592,plr,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.278,0.266,0.29,nlr,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.214,0.212,0.217,aprev,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.072,0.07,0.073,tprev,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.765,0.754,0.775,se,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.828,0.826,0.831,sp,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.824,0.821,0.826,diag.acc,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.796,0.79,0.803,balanced.acc,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
15.66,14.764,16.609,diag.or,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.006,0.006,0.006,nnd,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.593,0.58,0.605,youden,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.255,0.249,0.262,ppv,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.979,0.977,0.98,npv,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
4.45,4.364,4.539,plr,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.284,0.272,0.297,nlr,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.227,0.224,0.23,aprev,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
0.073,0.071,0.074,tprev,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
0.74,0.73,0.75,se,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
0.813,0.811,0.816,sp,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
0.808,0.805,0.81,diag.acc,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
0.777,0.77,0.783,balanced.acc,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
12.405,11.731,13.119,diag.or,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
0.006,0.006,0.007,nnd,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
0.553,0.54,0.566,youden,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
0.237,0.232,0.243,ppv,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
0.976,0.974,0.977,npv,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
3.964,3.888,4.042,plr,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
0.32,0.307,0.332,nlr,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
0.224,0.221,0.227,aprev,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.072,0.07,0.073,tprev,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.741,0.73,0.751,se,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.816,0.813,0.818,sp,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.811,0.808,0.813,diag.acc,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.778,0.772,0.785,balanced.acc,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
12.658,11.956,13.4,diag.or,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.006,0.006,0.007,nnd,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.557,0.543,0.57,youden,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.237,0.231,0.243,ppv,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.976,0.975,0.977,npv,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
4.023,3.944,4.104,plr,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.318,0.305,0.331,nlr,NEFA_IR_FD.EMR_EMR.STAND_Cow.Yes_Breed.Yes_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_218
0.223,0.221,0.226,aprev,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.073,0.071,0.074,tprev,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.757,0.747,0.767,se,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.819,0.816,0.821,sp,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.814,0.812,0.817,diag.acc,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.788,0.782,0.794,balanced.acc,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
14.106,13.322,14.935,diag.or,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.006,0.006,0.006,nnd,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.576,0.563,0.589,youden,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.247,0.241,0.253,ppv,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.977,0.976,0.978,npv,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
4.179,4.099,4.26,plr,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.296,0.284,0.309,nlr,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.21,0.208,0.213,aprev,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.072,0.07,0.073,tprev,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.754,0.743,0.764,se,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.832,0.829,0.834,sp,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.826,0.824,0.829,diag.acc,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.793,0.786,0.799,balanced.acc,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
15.12,14.267,16.024,diag.or,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.006,0.006,0.006,nnd,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.585,0.572,0.598,youden,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.257,0.251,0.263,ppv,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.978,0.977,0.979,npv,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
4.478,4.389,4.568,plr,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.296,0.284,0.309,nlr,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_217
0.22,0.218,0.223,aprev,NEFA_IR_FD_EMR.NONE_Cow.Yes_Breed.Yes_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_217
